area;UNIDADE;SOLO_EMBRA;MAT_ORIGEM;LEGENDA;Declividade (calculada em aula)
27828,83982;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;4
379,0288377;Facies Gramado;Argissolo Vermelho alumínico típico;Basalto;Mata com ate 50% de antropico;3
379,0288377;Facies Gramado;Latossolo Vermelho aluminoférrico húmico;Basalto;Mata com ate 50% de antropico;3
863,2838116;Facies Gramado;Argissolo Vermelho alumínico típico;Basalto;Mata com ate 50% de antropico;3
863,2838116;Facies Gramado;Latossolo Vermelho aluminoférrico húmico;Basalto;Mata com ate 50% de antropico;3
685,4910117;Facies Gramado;Argissolo Vermelho alumínico típico;Basalto;Mata com ate 50% de antropico;5
685,4910117;Facies Gramado;Latossolo Vermelho aluminoférrico húmico;Basalto;Mata com ate 50% de antropico;5
1980,774641;Facies Gramado;Argissolo Vermelho alumínico típico;Basalto;Mata nativa;5
1980,774641;Facies Gramado;Latossolo Vermelho aluminoférrico húmico;Basalto;Mata nativa;5
8156,636163;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
100485,7947;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata com ate 50% de antropico;4
20387,15412;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
8741,911886;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
18975,62183;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
1194,616299;Facies Gramado;Argissolo Vermelho alumínico típico;Basalto;Mata nativa;2
1194,616299;Facies Gramado;Latossolo Vermelho aluminoférrico húmico;Basalto;Mata nativa;2
837,1333724;Facies Caxias;Argissolo Vermelho alumínico típico;Basalto;Mata nativa;5
837,1333724;Facies Caxias;Latossolo Vermelho aluminoférrico húmico;Basalto;Mata nativa;5
2499,173614;Facies Gramado;Argissolo Vermelho alumínico típico;Basalto;Mata nativa;5
2499,173614;Facies Gramado;Latossolo Vermelho aluminoférrico húmico;Basalto;Mata nativa;5
419,4507774;Facies Gramado;Argissolo Vermelho alumínico típico;Basalto;Mata nativa;5
419,4507774;Facies Gramado;Latossolo Vermelho aluminoférrico húmico;Basalto;Mata nativa;5
12627,52801;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
5952,651705;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
2550,09987;Facies Gramado;Neossolo Regolítico húmico típico;Xisto;Mata nativa;5
